Issue key,Issue id,Parent id,Custom field (Commercial Request),Custom field (Business Initiative),Issue Type,Custom field (Work Type Classification),Summary,Status,Created,Updated,Resolution,Resolved,Priority,Reporter,Assignee,Original Estimate,Time Spent,Custom field (Team),Custom field (PM Roadmap Items),Remaining Estimate,Custom field (Customer),Custom field (Links),Custom field (Story Point Forecast),Custom field (Story Points),Custom field (At Risk)
PCTRL-114,189558,189250,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Default Sub-task,Paid Customization (SOW),SSP America - Custom Payroll export- Custom file automation,Reviewed,Sep/25/17 12:55 PM,Jan/05/18 9:37 AM,No Longer Required,Oct/06/17 3:51 PM,Major,Sekou.Cisse,,,,,,,,,,,
PCTRL-113,189556,189250,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Default Sub-task,Paid Customization (SOW),SSP America - Custom Payroll export- Store statuses,Reviewed,Sep/25/17 12:53 PM,Jan/05/18 9:38 AM,No Longer Required,Oct/06/17 3:51 PM,Major,Sekou.Cisse,,,,,,,,,,,
PCTRL-112,189552,189250,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Default Sub-task,Paid Customization (SOW),SSP America - Custom Payroll export- Custom payroll file generation,Reviewed,Sep/25/17 12:51 PM,Jan/05/18 9:39 AM,No Longer Required,Oct/06/17 3:50 PM,Major,Sekou.Cisse,,,,,,,,,,,
PCTRL-111,189544,189250,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Default Sub-task,Paid Customization (SOW),SSP America - Custom Payroll export- Custom earning codes configuration,Reviewed,Sep/25/17 12:48 PM,Jan/05/18 9:46 AM,No Longer Required,Oct/06/17 3:51 PM,Major,Sekou.Cisse,,,,,,,,,,,
PCTRL-110,189250,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,PS/Custom Development,Epic,Paid Customization (SOW),SSP America - Custom Payroll Export,Definition,Sep/22/17 9:07 AM,Feb/13/18 9:52 PM,,,Major,Erika.Chee,clark.hanley,,,,,,,,,,
IS-3579,230359,,CFA_QLLM 401: Employee Shift Thresholds,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Employee Submit Schedule Thresholds Error Validation,Product Management,Mar/27/18 6:12 PM,Mar/28/18 10:18 AM,,,Major,jason.powell,,97200,,,,97200,,,,,
IS-3575,229196,,CFA_QLLM 401: Employee Shift Thresholds,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - Employee Submit Schedule Thresholds Layout,Product Management,Mar/22/18 3:55 PM,Mar/28/18 10:33 AM,,,Major,jason.powell,,234000,,,,234000,,,,,
IS-3560,224035,,CFA- QLLM-420 Availability Updates,PS/Custom Development,Improvement,Paid Customization (SOW),CFA - Update Default Availability State from Available to Unavailable,Reviewed,Feb/28/18 12:04 AM,Mar/14/18 9:27 AM,Done,Mar/02/18 11:04 AM,Major,jason.powell,Petro.Rovenskyy,86400,86400,,,0,,,,,
IS-3557,222559,,CFA- QLLM-420 Availability Updates,PS/Custom Development,Improvement,Paid Customization (SOW),CFA - Partially Unavailable to Partially Available,Reviewed,Feb/25/18 9:20 PM,Mar/27/18 8:26 AM,Implemented,Mar/21/18 4:14 AM,Major,jason.powell,Petro.Rovenskyy,230400,230400,,,0,,,,,
IS-3551,221053,,CFA_QLLM 401: Employee Shift Thresholds,PS/Custom Development,Bug,Paid Customization (SOW),CFA - Employee Threshold Change Request Not Displaying in Availability Approval. ,Reviewed,Feb/14/18 11:00 AM,Feb/16/18 11:04 AM,No Longer Required,Feb/16/18 11:04 AM,Major,jason.powell,,,,,,,,,,,
IS-3528,215833,,CFA- QLLM-420 Availability Updates,PS/Custom Development,Improvement,Paid Customization (SOW),"CFA - Update ""+ Add Another"" functionality in availability",Reviewed,Jan/28/18 6:10 PM,Mar/29/18 9:33 AM,Fixed,Mar/28/18 2:56 PM,Major,jason.powell,Petro.Rovenskyy,115200,194400,,,0,,,,,
IS-3503,209429,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - iOS - Employee Submit Thresholds: Add tests and reduce complexity,Reviewed,Jan/03/18 9:19 AM,Jan/15/18 10:36 AM,Implemented,Jan/15/18 3:10 AM,Major,alan.bouzek,Petro.Rovenskyy,90000,100800,,,0,,,,,
IS-3452,201579,,CFA_QLLM 416: Employee Shift Thresholds: Manager Submit,PS/Custom Development,New Feature,Paid Customization (SOW),CFA - iOS - Employee Submit Thresholds : Manager Approval - Mobile,Reviewed,Nov/16/17 1:44 PM,Feb/15/18 10:36 AM,Fixed,Dec/28/17 10:27 AM,Major,jason.powell,Petro.Rovenskyy,190800,194400,,,0,,,,,
IS-3420,198993,,CFA_QLLM 406 - Turn off the Approving Manager drop down,HS Labor,Improvement,Paid Customization (SOW),Refactor and reduce complexity of new availability code,Reviewed,Nov/06/17 11:38 AM,Nov/27/17 4:20 PM,Completed,Nov/16/17 10:18 AM,Major,alan.bouzek,Petro.Rovenskyy,46800,54000,,,0,,,,,
IS-3386,192810,,CFA_QLLM 406 - Turn off the Approving Manager drop down,HS Labor,New Feature,Paid Customization (SOW),CFA - Removal of Approving Manager from Edit Availability Screen,Reviewed,Oct/09/17 9:13 AM,Nov/28/17 10:38 AM,Implemented,Oct/26/17 5:02 PM,Major,staten.putnal,Petro.Rovenskyy,1080,48600,,,16200,,,,,
IS-3381,191093,,CFA_QLLM 358 - Day Notes in Mobile App,HS Labor,Improvement,Paid Customization (SOW),Write unit tests for day notes and document feature,Reviewed,Sep/28/17 10:11 AM,Oct/10/17 4:19 PM,Completed,Oct/09/17 11:18 AM,Major,alan.bouzek,Petro.Rovenskyy,28800,28800,,,0,,,,,
IS-3380,191091,,CFA_QLLM 358 - Day Notes in Mobile App,HS Labor,Improvement,Paid Customization (SOW),Reduce complexity of roster/day note code,Reviewed,Sep/28/17 10:06 AM,Oct/11/17 3:58 PM,Completed,Oct/09/17 10:46 AM,Major,alan.bouzek,Petro.Rovenskyy,57600,61200,,,0,,,,,
IS-3365,186828,,CFA_QLLM 358 - Day Notes in Mobile App,HS Labor,New Feature,Paid Customization (SOW),IOS iPad CFA - Day Notes In Mobile,Reviewed,Sep/12/17 9:48 AM,Sep/28/17 10:14 AM,Implemented,Sep/22/17 10:26 AM,Major,staten.putnal,Petro.Rovenskyy,140400,81000,,,59400,,,,,
IS-3363,186295,,CFA_QLLM 358 - Day Notes in Mobile App,HS Labor,New Feature,Paid Customization (SOW),IOS iPhone CFA - Day Notes In Mobile,Reviewed,Sep/08/17 10:19 AM,Oct/02/17 5:06 PM,Implemented,Sep/21/17 8:04 AM,Major,staten.putnal,Petro.Rovenskyy,151200,171000,,,0,,,,,
HS-28296,227857,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS PayControl,Bug,Core R&D,Error thrown when downloading payroll mapping file,QA - In Progress,Mar/15/18 2:08 PM,Mar/30/18 8:56 AM,Fixed,Mar/29/18 12:43 PM,Major,damon.e.williams,john.wisneski,43200,64800,,,0,,,,,
HS-28186,226394,,CFA- QLLM-420 Availability Updates,PS/Custom Development,Bug,Paid Customization (SOW),Staff List - Add Employee(old flow) - Shading Key is not applied,Reviewed,Mar/12/18 7:39 AM,Mar/26/18 9:38 AM,Done,Mar/15/18 11:28 AM,Major,Anastasiia.Novosad,Yevgen.Kruglyk,18000,25200,,,0,,,,,
HS-28145,226198,,SSP America - Customer Data Mapping UI & Customer Reporting Functionality for New Payroll Fields,HS PayControl,Improvement,Core R&D,SSP: Improve error handling for uploading SSP File Mapping,Product Management,Mar/09/18 8:57 AM,Mar/26/18 4:34 PM,,,Major,jonathan.lopez,,,,,,,,,,,
